,state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,fips
166,Arkansas,5089,Marion County,5783,1531,7503,4252,0.7707583633213382,0.204051712648274,0.5667066506730641,05089
167,Arkansas,5091,Miller County,11920,4245,16529,7675,0.7211567547946034,0.2568213443039506,0.4643354104906527,05091
168,Arkansas,5093,Mississippi County,7296,4558,12342,2738,0.5911521633446767,0.3693080538000324,0.2218441095446442,05093
169,Arkansas,5095,Monroe County,1545,1147,2816,398,0.5486505681818182,0.4073153409090909,0.1413352272727273,05095
170,Arkansas,5097,Montgomery County,3046,731,3873,2315,0.7864704363542474,0.1887425768138394,0.597727859540408,05097
171,Arkansas,5099,Nevada County,2133,1076,3358,1057,0.6351995235259082,0.3204288266825491,0.3147706968433591,05099
172,Arkansas,5101,Newton County,3192,709,3998,2483,0.7983991995997999,0.1773386693346673,0.6210605302651325,05101
173,Arkansas,5103,Ouachita County,5294,3995,9629,1299,0.5497974867587496,0.4148925122027209,0.1349049745560286,05103
174,Arkansas,5105,Perry County,3479,1012,4627,2467,0.7518910741301059,0.2187162308191052,0.5331748433110006,05105
175,Arkansas,5107,Phillips County,2417,3623,6242,-1206,0.387215636014098,0.5804229413649471,-0.193207305350849,05107
176,Arkansas,5109,Pike County,3519,644,4246,2875,0.8287800282618936,0.1516721620348563,0.6771078662270372,05109
177,Arkansas,5111,Poinsett County,5918,1424,7521,4494,0.7868634490094403,0.1893365243983512,0.597526924611089,05111
178,Arkansas,5113,Polk County,7035,1246,8490,5789,0.8286219081272085,0.1467608951707891,0.6818610129564193,05113
179,Arkansas,5115,Pope County,18081,5772,24432,12309,0.7400540275049116,0.2362475442043222,0.5038064833005893,05115
180,Arkansas,5117,Prairie County,2786,654,3495,2132,0.7971387696709585,0.1871244635193133,0.6100143061516452,05117
181,Arkansas,5119,Pulaski County,63687,101947,169956,-38260,0.3747263997740592,0.5998434889030102,-0.225117089128951,05119
182,Arkansas,5121,Randolph County,5355,1215,6812,4140,0.7861127422196125,0.1783617146212566,0.6077510275983559,05121
183,Arkansas,5123,St. Francis County,3242,3604,7108,-362,0.456105796285875,0.5070343275182893,-0.0509285312324142,05123
184,Arkansas,5125,Saline County,39556,16060,56959,23496,0.6944644393335557,0.2819571972822556,0.4125072420513,05125
185,Arkansas,5127,Scott County,2962,483,3551,2479,0.8341312306392565,0.1360180230920867,0.6981132075471698,05127
186,Arkansas,5129,Searcy County,3365,588,4019,2777,0.8372729534710127,0.1463050510077133,0.6909679024632993,05129
187,Arkansas,5131,Sebastian County,31198,14487,47140,16711,0.6618158676283411,0.3073186253712346,0.3544972422571065,05131
188,Arkansas,5133,Sevier County,3884,1116,5202,2768,0.746635909265667,0.2145328719723183,0.5321030372933486,05133
189,Arkansas,5135,Sharp County,5938,1398,7566,4540,0.7848268569918054,0.1847739888977002,0.6000528680941052,05135
190,Arkansas,5137,Stone County,4616,1180,5938,3436,0.7773661165375547,0.1987201077803974,0.5786460087571572,05137
191,Arkansas,5139,Union County,10478,5584,16607,4894,0.6309387607635335,0.3362437526344312,0.2946950081291022,05139
192,Arkansas,5141,Van Buren County,6034,1593,7807,4441,0.7728961188676828,0.2040476495452798,0.568848469322403,05141
193,Arkansas,5143,Washington County,47504,43824,94266,3680,0.5039356713979589,0.4648972057793902,0.0390384656185686,05143
194,Arkansas,5145,White County,24182,5978,30885,18204,0.7829690788408613,0.1935567427553828,0.5894123360854784,05145
195,Arkansas,5147,Woodruff County,1543,856,2476,687,0.6231825525040388,0.345718901453958,0.2774636510500807,05147
196,Arkansas,5149,Yell County,5226,1284,6741,3942,0.7752558967512239,0.1904761904761904,0.5847797062750334,05149
197,California,6001,Alameda County,136309,617659,769864,-481350,0.1770559475439818,0.8022962497272246,-0.6252403021832428,06001
198,California,6003,Alpine County,244,476,741,-232,0.3292847503373819,0.6423751686909581,-0.3130904183535762,06003
199,California,6005,Amador County,13585,8153,22302,5432,0.6091381938839566,0.3655725943861537,0.2435655994978029,06005
200,California,6007,Butte County,48730,50426,102042,-1696,0.4775484604378589,0.4941690676388154,-0.0166206072009564,06007
